jan13,gtin14,product_name,manufacturer_name,iji_code,kinou_kubun_code,tokutei_name,reimbursement_price_yen,pack_qty
0886000000000,20900000000000,ＰＢＮ　スケーターイントロデューサーセット　６Ｆセット,スーガン,ー,B002197,（一物複数価格）ガイドワイヤー,-,1
0886000000000,00886000000000,ＰＢＮ　スケーターイントロデューサーセット　６Ｆセット,スーガン,ー,B002197,（一物複数価格）ガイドワイヤー,-,1
0886000000000,20900000000000,ＰＢＮ　スケーターイントロデューサーセット　７Ｆセット,スーガン,ー,B002197,（一物複数価格）ガイドワイヤー X 2,-,1
0886000000000,20900000000000,ＰＢＮ　スケーターイントロデューサーセット　８Ｆセット,スーガン,ー,B002197,（一物複数価格）ガイドワイヤー X 2,-,1
0886000000000,20900000000000,ＰＢＮ　スケーターイントロデューサーセット　７Ｆセット,スーガン,ー,B002197,（一物複数価格）ガイドワイヤー X 2,-,1
0886000000000,20900000000000,ＰＢＮ　スケーターイントロデューサーセット　８Ｆセット,スーガン,ー,B002197,（一物複数価格）ガイドワイヤー X 2,-,1
0886000000000,00886000000000,ＰＢＮ　スケーターイントロデューサーセット　７Ｆセット,スーガン,ー,B002197,（一物複数価格）ガイドワイヤー X 2,-,1
0886000000000,00886000000000,ＰＢＮ　スケーターイントロデューサーセット　８Ｆセット,スーガン,ー,B002197,（一物複数価格）ガイドワイヤー X 2,-,1
0886000000000,00886000000000,ＰＢＮ　スケーターイントロデューサーセット　７Ｆセット,スーガン,ー,B002197,（一物複数価格）ガイドワイヤー X 2,-,1
0886000000000,00886000000000,ＰＢＮ　スケーターイントロデューサーセット　８Ｆセット,スーガン,ー,B002197,（一物複数価格）ガイドワイヤー X 2,-,1
0886000000000,00886000000000,スケーターカテーテル　ＮＬ　６Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＮＬ　７Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＮＬ　８Ｆ２０㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＮＬ　１０Ｆ２０㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＳＬ　８Ｆ２０㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＳＬ　１０Ｆ２０㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＳＬ　１２Ｆ２０㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＮＬ　１４Ｆ２０㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＮＬ　１４Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＮＬ　１６Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　SＬ　１４Ｆ２０㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＮＬ　６Ｆ２０㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＮＬ　７Ｆ２０㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＮＬ　１２Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＮＬ　１０Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＮＬ　８Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＳＬ　１４Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　SＬ　１６Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＳＬ　１２Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＳＬ　１０Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＳＬ　８Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＳＬ　７Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＳＬ　７Ｆ２０㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
0886000000000,00886000000000,スケーターカテーテル　ＳＬ　６Ｆ２５㎝,スーガン,ー,B002198,（一物複数価格）ドレナージカテーテル,-,1
