jan13keta,gtin14,product_name,manufacturer_name,iji_code,kinou_kubun_code,tokutei_name,reimbursement_price_yen,pack_qty
4548366195795,04548366195795,ネオベール　シートタイプ　１５０×１５０×０．１５ｍｍ　グリーン,グンゼ,736700000,B00209903,組織代用人工繊維布　臓器欠損補強用,167,1
4548366198826,04548366198826,ネオベール　シートタイプ　５０×５０×０．１５ｍｍ　グリーン,グンゼ,736700000,B00209903,組織代用人工繊維布　臓器欠損補強用,167,1
4548366293118,04548366293118,ペルナック　メッシュ補強タイプ　３Ｓ　４×３ｃｍ,グンゼ,728140000,B002102,真皮欠損用グラフト,452,1
4548366293125,04548366293125,ペルナック　メッシュ補強タイプ　ＳＳ　４×６ｃｍ,グンゼ,728140000,B002102,真皮欠損用グラフト,452,1
4548366293132,04548366293132,ペルナック　標準タイプ　３Ｓ　４×３ｃｍ,グンゼ,728140000,B002102,真皮欠損用グラフト,452,1
4548366293149,04548366293149,ペルナック　標準タイプ　ＳＳ　４×６ｃｍ,グンゼ,728140000,B002102,真皮欠損用グラフト,452,1
4548366514374,04548366514374,ネオフィックス　ミニプレート　２穴ロング×全長１７ｍｍ,グンゼ,736440000,B00208003,合成吸収性骨片接合材料　ストレートプレート,38200,1
4548366514374,14548366514371,ネオフィックス　ミニプレート　２穴ロング×全長１７ｍｍ,グンゼ,736440000,B00208003,合成吸収性骨片接合材料　ストレートプレート,38200,1
4548366514381,04548366514381,ネオフィックス　ミニプレート　８穴ショート×全長４７ｍｍ,グンゼ,736440000,B00208003,合成吸収性骨片接合材料　ストレートプレート,38200,1
4548366514381,14548366514388,ネオフィックス　ミニプレート　８穴ショート×全長４７ｍｍ,グンゼ,736440000,B00208003,合成吸収性骨片接合材料　ストレートプレート,38200,1
4548366578710,04548366578710,グランドフィックス　ミニスクリュー　径２．２－５ｍｍ,グンゼ,736430000,B0020800102,合成吸収性骨片接合材料　スクリュー　頭蓋・顎・顔面・小骨用,33000,1
4548366578710,14548366578717,グランドフィックス　ミニスクリュー　径２．２－５ｍｍ,グンゼ,736430000,B0020800102,合成吸収性骨片接合材料　スクリュー　頭蓋・顎・顔面・小骨用,33000,1
4548366578727,04548366578727,ネオフィックス　ミニスクリュー　径２．２－５ｍｍ,グンゼ,736430000,B0020800102,合成吸収性骨片接合材料　スクリュー　頭蓋・顎・顔面・小骨用,33000,1
4548366578734,04548366578734,グランドフィックス　ミニスクリュー　径２．２－５ｍｍ,グンゼ,736430000,B0020800102,合成吸収性骨片接合材料　スクリュー　頭蓋・顎・顔面・小骨用,33000,1
4548366578734,14548366578731,グランドフィックス　ミニスクリュー　径２．２－５ｍｍ,グンゼ,736430000,B0020800102,合成吸収性骨片接合材料　スクリュー　頭蓋・顎・顔面・小骨用,33000,1
4548366578741,04548366578741,ネオフィックス　ミニスクリュー　径２．２－５ｍｍ,グンゼ,736430000,B0020800102,合成吸収性骨片接合材料　スクリュー　頭蓋・顎・顔面・小骨用,33000,1
4548366578758,04548366578758,グランドフィックス　ミニスクリュー　径２．２－５ｍｍ,グンゼ,736430000,B0020800102,合成吸収性骨片接合材料　スクリュー　頭蓋・顎・顔面・小骨用,33000,1
