jan13keta,gtin14,product_name,manufacturer_name,iji_code,kinou_kubun_code,tokutei_name,reimbursement_price_yen,pack_qty
5413765588013,05413765588013,セプラフィルム,バクスター,730840000,B00210001,合成吸収性癒着防止材　シート型,169,1
5413765588013,25413765588017,セプラフィルム,バクスター,730840000,B00210001,合成吸収性癒着防止材　シート型,169,10
5413765588013,55413765588018,セプラフィルム,バクスター,730840000,B00210001,合成吸収性癒着防止材　シート型,169,30
5413765588198,05413765588198,セプラフィルム  (CS プロシージャ― パック),バクスター,730840000,B00210001,合成吸収性癒着防止材　シート型,169,1
5413765588198,25413765588192,セプラフィルム  (CS プロシージャ― パック),バクスター,730840000,B00210001,合成吸収性癒着防止材　シート型,169,6
5413765588198,55413765588193,セプラフィルム  (CS プロシージャ― パック),バクスター,730840000,B00210001,合成吸収性癒着防止材　シート型,169,30
5413765588204,05413765588204,セプラフィルム  (ONC プロシージャ― パック),バクスター,730840000,B00210001,合成吸収性癒着防止材　シート型,169,1
5413765588204,25413765588208,セプラフィルム  (ONC プロシージャ― パック),バクスター,730840000,B00210001,合成吸収性癒着防止材　シート型,169,6
5413765588204,55413765588209,セプラフィルム  (ONC プロシージャ― パック),バクスター,730840000,B00210001,合成吸収性癒着防止材　シート型,169,30
5413765588211,05413765588211,セプラフィルム (クォーターパック）,バクスター,730840000,B00210001,合成吸収性癒着防止材　シート型,169,1
5413765588211,25413765588215,セプラフィルム (クォーターパック）,バクスター,730840000,B00210001,合成吸収性癒着防止材　シート型,169,10
5413765588211,55413765588216,セプラフィルム (クォーターパック）,バクスター,730840000,B00210001,合成吸収性癒着防止材　シート型,169,30
