jan13keta,gtin14,product_name,manufacturer_name,iji_code,kinou_kubun_code,tokutei_name,reimbursement_price_yen,pack_qty
8435387310572,08435387310572,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310589,08435387310589,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310596,08435387310596,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310626,08435387310626,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310633,08435387310633,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310664,08435387310664,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310695,08435387310695,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310701,08435387310701,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310718,08435387310718,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310725,08435387310725,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310749,08435387310749,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310756,08435387310756,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310770,08435387310770,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310787,08435387310787,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310794,08435387310794,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387310800,08435387310800,sergeant support catheter,メディコスヒラタ,710010615,B00213315,血管内手術用カテーテル　狭窄部貫通用カテーテル,42100,1
8435387314235,08435387314235,oceanus 14 RX PTA balloon dilatation catheter,メディコスヒラタ,737330000,B00213303012,血管内手術用カテーテル　ＰＴＡバルーンカテーテル　一般型　特殊型,47700,1
8435387314242,08435387314242,oceanus 14 RX PTA balloon dilatation catheter,メディコスヒラタ,737330000,B00213303012,血管内手術用カテーテル　ＰＴＡバルーンカテーテル　一般型　特殊型,47700,1
8435387314273,08435387314273,oceanus 14 RX PTA balloon dilatation catheter,メディコスヒラタ,737330000,B00213303012,血管内手術用カテーテル　ＰＴＡバルーンカテーテル　一般型　特殊型,47700,1
8435387314297,08435387314297,oceanus 14 RX PTA balloon dilatation catheter,メディコスヒラタ,737330000,B00213303012,血管内手術用カテーテル　ＰＴＡバルーンカテーテル　一般型　特殊型,47700,1
8435387314303,08435387314303,oceanus 14 RX PTA balloon dilatation catheter,メディコスヒラタ,737330000,B00213303012,血管内手術用カテーテル　ＰＴＡバルーンカテーテル　一般型　特殊型,47700,1
8435387314310,08435387314310,oceanus 14 RX PTA balloon dilatation catheter,メディコスヒラタ,737330000,B00213303012,血管内手術用カテーテル　ＰＴＡバルーンカテーテル　一般型　特殊型,47700,1
8435387314327,08435387314327,oceanus 14 RX PTA balloon dilatation catheter,メディコスヒラタ,737330000,B00213303012,血管内手術用カテーテル　ＰＴＡバルーンカテーテル　一般型　特殊型,47700,1
8435387314334,08435387314334,oceanus 14 RX PTA balloon dilatation catheter,メディコスヒラタ,737330000,B00213303012,血管内手術用カテーテル　ＰＴＡバルーンカテーテル　一般型　特殊型,47700,1
