jan13keta,gtin14_i0,unit_name_i0,gtin14_i1,unit_name_i1,gtin14_i2,unit_name_i2,product_name,product_no,product_sta,total_reimbursement_price_yen,pack_qty,manufacturer_name,tokutei01_iji_code,tokutei01_name,tokutei01_price,tokutei02_iji_code,tokutei02_name,tokutei02_price,tokutei03_iji_code,tokutei03_name,tokutei03_price,tokutei04_iji_code,tokutei04_name,tokutei04_price,tokutei05_iji_code,tokutei05_name,tokutei05_price,tokutei06_iji_code,tokutei06_name,tokutei06_price,tokutei07_iji_code,tokutei07_name,tokutei07_price,tokutei08_iji_code,tokutei08_name,tokutei08_price,tokutei09_iji_code,tokutei09_name,tokutei09_price,tokutei10_iji_code,tokutei10_name,tokutei10_price
4941171002249,04941171002249,袋,,,,,ＮＳ綿球,ー,＃７　５０ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002256,04941171002256,袋,,,,,ＮＳ綿球,ー,＃１０　５０ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002263,04941171002263,袋,,,,,ＮＳ綿球,ー,＃１４　５０ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002270,04941171002270,袋,,,,,ＮＳ綿球,ー,＃２０　５０ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002287,04941171002287,箱,,,,,ＮＳ綿球,ー,＃２５　５０ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002294,04941171002294,袋,,,,,ＮＳ綿球,ー,＃３０　５０ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002300,04941171002300,袋,,,,,ＮＳ綿球,ー,＃４０　５０ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000399,04941171000399,箱,,,,,藤本式挿入ガーゼ１号,０００３９,１ｃｍ×４０ｍ　１０本入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000405,04941171000405,箱,,,,,藤本式挿入ガーゼ１．５号,０００４０,１．５ｃｍ×４０ｍ　１０本入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000412,04941171000412,箱,,,,,藤本式挿入ガーゼ２号,０００４１,２ｃｍ×４０ｍ　１０本入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000429,04941171000429,箱,,,,,藤本式挿入ガーゼ２．５号,０００４２,２．５ｃｍ×４０ｍ　１０本入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000436,04941171000436,箱,,,,,藤本式挿入ガーゼ３号,０００４３,３ｃｍ×４０ｍ　１０本入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000443,04941171000443,箱,,,,,藤本式挿入ガーゼ４号,０００４４,４ｃｍ×４０ｍ　１０本入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000450,04941171000450,箱,,,,,藤本式挿入ガーゼ５号,０００４５,５ｃｍ×４０ｍ　１０本入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000467,04941171000467,箱,,,,,藤本式挿入ガーゼ６号,０００４６,６ｃｍ×４０ｍ　１０本入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000474,04941171000474,箱,,,,,藤本式挿入ガーゼ７号,０００４７,７ｃｍ×４０ｍ　１０本入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000481,04941171000481,箱,,,,,藤本式挿入ガーゼ８号,０００４８,８ｃｍ×４０ｍ　１０本入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000498,04941171000498,箱,,,,,藤本式挿入ガーゼ１０号,０００４９,１０ｃｍ×４０ｍ　１０本入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001075,04941171001075,箱,,,,,カットタンポンガーゼ　３×２０,１０５０２３８,３ｃｍ×２０ｃｍ　１９２０枚入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000535,04941171000535,袋,,,,,NS１０Mガーゼ,ー,３０ｃｍ×１０M,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001068,04941171001068,箱,,,,,カットタンポンガーゼ３×１５,ー,３ｃｍ×１５ｃｍ　２５６０枚入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001150,04941171001150,箱,,,,,カットタンポンガーゼ４×３０,ー,４ｃｍ×３０ｃｍ　１２８０枚入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001549,04941171001549,包,,,,,藤本式　尺角ガーゼ　Ａ平,-,３０ｃｍｘ１５ｃｍ　６００枚入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001570,04941171001570,包,,,,,藤本式　尺角ガーゼ　Ｃ平,ー,３０ｃｍｘ３０ｃｍ　３００枚入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001594,04941171001594,包,,,,,藤本式尺角ガーゼＣ　４ッ折,ー,３０ｃｍｘ３０ｃｍ　３００枚入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001600,04941171001600,包,,,,,藤本式　尺角ガーゼＣ　Ｗ８折,ー,３０ｃｍｘ３０ｃｍ　３００枚入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000863,04941171000863,箱,,,,,カットタンポンガーゼ,ー,１号ｘ１０ｃｍ　（３８４０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000887,04941171000887,箱,,,,,カットタンポンガーゼ,ー,１号ｘ２０ｃｍ　（１９２０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000900,04941171000900,箱,,,,,カットタンポンガーゼ,ー,１号ｘ３０ｃｍ　（１２８０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000917,04941171000917,箱,,,,,カットタンポンガーゼ,ー,１．５号ｘ５ｃｍ　（７６８０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000924,04941171000924,箱,,,,,カットタンポンガーゼ,ー,１．５号ｘ１０ｃｍ　（３８４０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000931,04941171000931,箱,,,,,カットタンポンガーゼ,ー,１．５号ｘ１５ｃｍ　（２５６０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000948,04941171000948,箱,,,,,カットタンポンガーゼ,ー,１．５号ｘ２０ｃｍ　（１９２０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000962,04941171000962,箱,,,,,カットタンポンガーゼ,ー,１．５号ｘ３０ｃｍ　（１２８０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000979,04941171000979,箱,,,,,カットタンポンガーゼ,ー,２号ｘ５ｃｍ　（７６８０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000986,04941171000986,箱,,,,,カットタンポンガーゼ,ー,２号ｘ１０ｃｍ　（３８４０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000993,04941171000993,箱,,,,,カットタンポンガーゼ,ー,２号ｘ１５ｃｍ　（２５６０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001006,04941171001006,箱,,,,,カットタンポンガーゼ,ー,２号ｘ２０ｃｍ　（１９２０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001013,04941171001013,箱,,,,,カットタンポンガーゼ,ー,２号ｘ２５ｃｍ　（１５４０枚）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001020,04941171001020,箱,,,,,カットタンポンガーゼ,ー,２号ｘ３０ｃｍ　（１２８０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001037,04941171001037,箱,,,,,カットタンポンガーゼ,ー,２．５号ｘ５ｃｍ　（７６８０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001044,04941171001044,箱,,,,,カットタンポンガーゼ,ー,２号ｘ１０ｃｍ　（３８４０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001051,04941171001051,箱,,,,,カットタンポンガーゼ,ー,２．５号ｘ１５ｃｍ　（１５４０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001082,04941171001082,箱,,,,,カットタンポンガーゼ,ー,２．５号ｘ２０ｃｍ　（１９２０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001099,04941171001099,箱,,,,,カットタンポンガーゼ,ー,２．５号ｘ２５ｃｍ　（１５４０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001105,04941171001105,箱,,,,,カットタンポンガーゼ,ー,２．５号ｘ３０ｃｍ　（１２８０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001112,04941171001112,箱,,,,,カットタンポンガーゼ,ー,３号ｘ５ｃｍ　（７６８０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001129,04941171001129,箱,,,,,カットタンポンガーゼ,ー,３号ｘ１０ｃｍ　（３８４０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001136,04941171001136,箱,,,,,カットタンポンガーゼ,ー,３号ｘ２５ｃｍ（１５４０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001143,04941171001143,箱,,,,,カットタンポンガーゼ,ー,３号ｘ３０ｃｍ　（１２８０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001167,04941171001167,箱,,,,,カットタンポンガーゼ,ー,４号ｘ５ｃｍ　（７６８０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001174,04941171001174,箱,,,,,カットタンポンガーゼ,ー,４号ｘ１０ｃｍ　（３８４０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001181,04941171001181,箱,,,,,カットタンポンガーゼ,ー,４号ｘ１５ｃｍ　（２５６０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001198,04941171001198,箱,,,,,カットタンポンガーゼ,ー,４号ｘ２０ｃｍ　（１９２０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001204,04941171001204,箱,,,,,カットタンポンガーゼ,ー,４号ｘ２５ｃｍ　（１５４０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001211,04941171001211,箱,,,,,カットタンポンガーゼ,ー,５号ｘ５ｃｍ　（７６８０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001228,04941171001228,箱,,,,,カットタンポンガーゼ,ー,５号ｘ１０ｃｍ　（３８４０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001235,04941171001235,箱,,,,,カットタンポンガーゼ,ー,５号ｘ１５ｃｍ　（２５６０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001242,04941171001242,箱,,,,,カットタンポンガーゼ,ー,５号ｘ２０ｃｍ　（１９２０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001259,04941171001259,箱,,,,,カツトタンポンガーゼ,ー,５号ｘ２５ｃｍ　（１５４０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001266,04941171001266,箱,,,,,カットタンポンガーゼ,ー,５号ｘ３０ｃｍ　（１２８０枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001655,04941171001655,包,,,,,ＮＳ裁断ガーゼ　３０ｘ３０,ー,３０ｃｍｘ３０ｃｍ　３００枚入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001662,04941171001662,包,,,,,ＮＳ裁断ガーゼ　３０ｘ１５,ー,３０ｃｍｘ１５ｃｍ　（６００枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001679,04941171001679,包,,,,,ＮＳ裁断ガーゼ　１５ｘ１５,ー,１５ｃｍｘ１５ｃｍ　（１２００枚入）,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000528,04941171000528,反,,,,,ＮＳガーゼ,ー,１Ｍ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000092,04941171000092,箱,14941171000099,箱,,,カット綿　500g　4×4（プレコットン）NIS,115102,4 cm ×4cm　サンショウドウナイリ,,1,長谷川綿行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000108,04941171000108,箱,14941171000105,箱,,,特別裁断綿　500g　4×4,106780,4cm×4cm,,1,長谷川綿行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000092,04941171000092,箱,,,,,プレコットン,ー,４ｃｍ×４ｃｍ　５００ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000108,04941171000108,箱,,,,,ＮＳ特別裁断綿,ー,４ｃｍ×４ｃｍ　５００ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002119,04941171002119,包,,,,,ＮＳコットン,ー,５００ｇ　紙,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002157,04941171002157,箱,,,,,ＮＳ特別裁断綿,ー,４ｃｍｘ４ｃｍ　５００ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002164,04941171002164,箱,,,,,ＮＳ特別裁断綿,ー,３ｃｍｘ３ｃｍ　５００ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002171,04941171002171,箱,,,,,ＮＳ特別裁断綿,ー,５ｃｍｘ５ｃｍ　５００ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002188,04941171002188,箱,,,,,ＮＳ特別裁断綿,ー,７ｃｍｘ７ｃｍ　５００ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002195,04941171002195,箱,,,,,ＮＳ特別裁断綿,ー,８ｃｍｘ８ｃｍ　５００ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002232,04941171002232,箱,,,,,ＮＳ特別裁断綿,ー,巻綿５ｃｍ　５００ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000115,04941171000115,包,,,,,ＮＳコツトン,ー,５０ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002379,04941171002379,箱,,,,,プレコットン,ー,８×８　５００ｇ,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000306,04941171000306,本,,,,,コールシーネ,ー,NO.1　右,410,1,西尾衛生材料,734090000,副木（形状賦形型・上肢用）,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000313,04941171000313,本,,,,,コールシーネ,ー,NO.１　左,410,1,西尾衛生材料,734090000,副木（形状賦形型・上肢用）,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000320,04941171000320,本,,,,,コールシーネ,ー,NO．２　右,410,1,西尾衛生材料,734090000,副木（形状賦形型・上肢用）,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000337,04941171000337,本,,,,,コールシーネ,ー,NO．２　左,410,1,西尾衛生材料,734090000,副木（形状賦形型・上肢用）,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000344,04941171000344,本,,,,,コールシーネ,ー,NO．３　右,410,1,西尾衛生材料,734090000,副木（形状賦形型・上肢用）,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171000351,04941171000351,本,,,,,コールシーネ,ー,NO．３　左,410,1,西尾衛生材料,734090000,副木（形状賦形型・上肢用）,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002386,04941171002386,本,,,,,コールシーネプラス　NO.1右,００２３８,ＮＯ．１右,410,1,西尾衛生材料,734090000,副木（形状賦形型・上肢用）,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002393,04941171002393,本,,,,,コールシーネプラス　ＮＯ．１左,００２３９,ＮＯ．１左,410,1,西尾衛生材料,734090000,副木（形状賦形型・上肢用）,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002409,04941171002409,本,,,,,コールシーネプラス　NO.２右,００２４０,ＮＯ．２右,410,1,西尾衛生材料,734090000,副木（形状賦形型・上肢用）,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002416,04941171002416,本,,,,,コールシーネプラス　ＮＯ．２左,００２４１,ＮＯ．２左,410,1,西尾衛生材料,734090000,副木（形状賦形型・上肢用）,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002423,04941171002423,本,,,,,コールシーネプラス　NO.３右,００２４２,ＮＯ．３右,410,1,西尾衛生材料,734090000,副木（形状賦形型・上肢用）,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171002430,04941171002430,本,,,,,コールシーネプラス　ＮＯ．３左,００２４３,ＮＯ．３左,410,1,西尾衛生材料,734090000,副木（形状賦形型・上肢用）,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001631,04941171001631,箱,,,,,藤本式　尺角ガーゼＢＸ　平,ー,３０ｃｍｘ３０ｃｍ　３００枚入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941171001648,04941171001648,箱,,,,,藤本式　尺角ガーゼＢＸ　４ッ折,ー,３０ｃｍｘ３０ｃｍ　３００枚入,,1,西尾衛生材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
