jan13keta,gtin14,product_name,manufacturer_name,iji_code,kinou_kubun_code,tokutei_name,reimbursement_price_yen,pack_qty
4562100620008,04562100620008,腹部血管造影用カテーテル,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
4562100620060,04562100620060,心臓カテーテル,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
4562100620169,04562100620169,ピッグテールカテーテル（ＰＧ）,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
4562100620176,04562100620176,ピッグテールカテーテル（ＰＧ）,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
4562100620190,04562100620190,ピッグテールカテーテル（ＰＧ）,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
4562100620206,04562100620206,ピッグテールカテーテル（ＰＧ）,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
4562100620213,04562100620213,ピッグテールカテーテル（ＰＧ）,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
4562100620244,04562100620244,ピッグテールカテーテル（ＰＧ）,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
4562100620251,04562100620251,ピッグテールカテーテル（ＰＧ）,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
4562100620268,04562100620268,ピッグテールカテーテル（ＰＧ）,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
4562100620275,04562100620275,ピッグテールカテーテル（ＰＧ）,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
4562100620336,04562100620336,ピッグテールカテーテル（ＰＧ）,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
4562100620367,04562100620367,ピッグテールカテーテル（ＰＧ）,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
4562100620497,04562100620497,ピッグテールカテーテル（ＰＧ）,シルックス,738180000,B00200901,血管造影用カテーテル　一般用,1720,1
