jan13keta,gtin14,product_name,manufacturer_name,iji_code,kinou_kubun_code,tokutei_name,reimbursement_price_yen,pack_qty
4039239014041,04039239014041,ウェッジプレッシャ－バルーンカテーテル　ダブル　４Ｆ　６０ｃｍ　ＰＵＲ,ビー・ブラウンエースクラップ,732850000,B00200301,動脈圧測定用カテーテル　肺動脈圧及び肺動脈楔入圧測定用カテーテル,14000,1
4039239014423,04039239014423,ウェッジプレッシャ－バルーンカテーテル　ダブル　７Ｆ　１１０ｃｍ　ＰＵＲ,ビー・ブラウンエースクラップ,732850000,B00200301,動脈圧測定用カテーテル　肺動脈圧及び肺動脈楔入圧測定用カテーテル,14000,1
4039239017516,04039239017516,肺動脈造影用カテーテル　５Ｆ　８０ｃｍ　ＰＵＲ　耐圧６５０ＰＳＩ,ビー・ブラウンエースクラップ,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
4039239017523,04039239017523,肺動脈造影用カテーテル　６Ｆ　６０ｃｍ　ＰＵＲ　耐圧７００ＰＳＩ,ビー・ブラウンエースクラップ,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
4039239017738,04039239017738,肺動脈造影用カテーテル　８Ｆ　１１０ｃｍ　ＰＵＲ　耐圧１０５０ＰＳＩ,ビー・ブラウンエースクラップ,728550000,B00200902,血管造影用カテーテル　バルーン型（Ⅰ）,13400,1
4039239033158,04039239033158,サ－モダイリュ－ションカテーテル　７．５Ｆ　１１０ｃｍ　ＰＵＲ,ビー・ブラウンエースクラップ,732890000,B00200501012,サーモダイリューション用カテーテル　一般型　標準型　輸液又はペーシングリード用ルーメンあり,13700,1
4039239541653,04039239541653,アスキナ　ヒール,ビー・ブラウンエースクラップ,736740000,B0021010201,皮膚欠損用創傷被覆材　皮下組織に至る創傷用　標準型,10,1
4039239541653,14039239541650,アスキナ　ヒール,ビー・ブラウンエースクラップ,736740000,B0021010201,皮膚欠損用創傷被覆材　皮下組織に至る創傷用　標準型,10,5
4039361022563,04039361022563,スリープセーフアクセサリー（スリープセーフセットプラス）,フレゼニウスメディカルケアジャパン,738110000,B0020530202,腹膜透析液交換セット　回路　ＡＰＤセット,-,1
4039361022563,14039361022560,スリープセーフアクセサリー（スリープセーフセットプラス）,フレゼニウスメディカルケアジャパン,738110000,B0020530202,腹膜透析液交換セット　回路　ＡＰＤセット,-,16
4039361022563,04039361022563,スリープセーフアクセサリー（スリープセーフセットプラス）,フレゼニウスメディカルケアジャパン,732690000,B0010010202,（在宅）腹膜透析液交換セット　回路　ＡＰＤセット,-,1
4039361022563,14039361022560,スリープセーフアクセサリー（スリープセーフセットプラス）,フレゼニウスメディカルケアジャパン,732690000,B0010010202,（在宅）腹膜透析液交換セット　回路　ＡＰＤセット,-,16
4039361022563,04039361022563,スリープセーフアクセサリー（スリープセーフセットプラス）,フレゼニウスメディカルケアジャパン,737910000,B0080040202,（調剤）腹膜透析液交換セット　回路　ＡＰＤセット,-,1
4039361022563,14039361022560,スリープセーフアクセサリー（スリープセーフセットプラス）,フレゼニウスメディカルケアジャパン,737910000,B0080040202,（調剤）腹膜透析液交換セット　回路　ＡＰＤセット,-,16
4039361113889,04039361113889,ステイセーフ排液専用バッグⅡ（10ヶ入）,フレゼニウスメディカルケアジャパン,738100000,B0020530201,腹膜透析液交換セット　回路　Ｙセット,-,1
4039361113889,04039361113889,ステイセーフ排液専用バッグⅡ（10ヶ入）,フレゼニウスメディカルケアジャパン,732680000,B0010010201,（在宅）腹膜透析液交換セット　回路　Ｙセット,-,1
4039361113889,04039361113889,ステイセーフ排液専用バッグⅡ（10ヶ入）,フレゼニウスメディカルケアジャパン,737900000,B0080040201,（調剤）腹膜透析液交換セット　回路　Ｙセット,-,1
